sh000001 上证指数
sh000002 A股指数
sh000003 B股指数
sh000004 工业指数
sh000005 商业指数
sh000006 地产指数
sh000007 公用指数
sh000008 综合指数
sh000011 基金指数
sh000012 国债指数
sh000013 企债指数
sh000015 红利指数
sh000019 治理指数
sh000048 责任指数
sh000901 小康指数
sz399100 新指数
sz399103 乐富指数
sz399231 农林指数
sz399232 采矿指数
sz399233 制造指数
sz399234 水电指数
sz399235 建筑指数
sz399236 批零指数
sz399237 运输指数
sz399238 餐饮指数
sz399239 IT指数
sz399240 金融指数
sz399241 地产指数
sz399242 商务指数
sz399243 科研指数
sz399244 公共指数
sz399248 文化指数
sz399249 综企指数
sz399354 分析师指数
sz399398 绩效指数
sz399481 企债指数
sz399901 小康指数
sz399959 军工指数
sz399973 国防指数
sh000827 中证环保
sh000832 中证转债
sh000852 中证1000
sh000903 中证100
sh000904 中证200
sh000905 中证500
sh000906 中证800
sh000922 中证红利
sh000928 中证能源
sh000931 中证可选
sh000932 中证消费
sh000933 中证医药
sh000934 中证金融
sh000935 中证信息
sh000961 中证上游
sh000963 中证下游
sh000964 中证新兴
sh000998 中证TMT
sz399804 中证体育
sz399808 中证新能
sz399813 中证国安
sz399903 中证100
sz399904 中证200
sz399905 中证500
sz399928 中证能源
sz399932 中证消费
sz399933 中证医药
sz399934 中证金融
sz399935 中证信息
sz399967 中证军工
sz399971 中证传媒
sz399986 中证银行
sz399987 中证酒
sz399989 中证医疗
sz399997 中证白酒
sz399998 中证煤炭


